# solver	iter	mean-congestion	stddev
raeke	63	0.004443	0.000000
raeke	64	0.004570	0.000000
raeke	65	0.004452	0.000000
raeke	66	0.004436	0.000000
raeke	67	0.004602	0.000000
raeke	68	0.004505	0.000000
raeke	69	0.004330	0.000000
raeke	70	0.004570	0.000000
raeke	71	0.004720	0.000000
raeke	72	0.004538	0.000000
raeke	73	0.004697	0.000000
raeke	74	0.004658	0.000000
raeke	75	0.004427	0.000000
raeke	76	0.004649	0.000000
raeke	77	0.004736	0.000000
raeke	78	0.004108	0.000000
raeke	79	0.004286	0.000000
raeke	80	0.004500	0.000000
raeke	81	0.004640	0.000000
raeke	82	0.004773	0.000000
raeke	83	0.004569	0.000000
raeke	84	0.004242	0.000000
raeke	85	0.004525	0.000000
raeke	86	0.004757	0.000000
raeke	87	0.004623	0.000000
raeke	88	0.004940	0.000000
raeke	89	0.004762	0.000000
raeke	90	0.004689	0.000000
raeke	91	0.004857	0.000000
raeke	92	0.004701	0.000000
raeke	93	0.004536	0.000000
raeke	94	0.004689	0.000000
raeke	95	0.004708	0.000000
raeke	96	0.004520	0.000000
raeke	97	0.004767	0.000000
raeke	98	0.004771	0.000000
raeke	99	0.004989	0.000000
semimcfecmp	0	0.001719	0.000000
semimcfecmp	1	0.001729	0.000000
semimcfecmp	2	0.001870	0.000000
semimcfecmp	3	0.001743	0.000000
semimcfecmp	4	0.001929	0.000000
semimcfecmp	5	0.001876	0.000000
semimcfecmp	6	0.001620	0.000000
semimcfecmp	7	0.001599	0.000000
semimcfecmp	8	0.001782	0.000000
semimcfecmp	9	0.001796	0.000000
semimcfecmp	10	0.001903	0.000000
semimcfecmp	11	0.001745	0.000000
semimcfecmp	12	0.001646	0.000000
semimcfecmp	13	0.001689	0.000000
semimcfecmp	14	0.001708	0.000000
semimcfecmp	15	0.001734	0.000000
semimcfecmp	16	0.001828	0.000000
